a,a_incidences,b,b_incidences,c,c_incidences,d,d_incidences,e,e_incidences,f,f_incidences,g,g_incidences,h,h_incidences,i,i_incidences,j,j_incidences,k,k_incidences,l,l_incidences,m,m_incidences,n,n_incidences,o,o_incidences,p,p_incidences,q,q_incidences,r,r_incidences,s,s_incidences,t,t_incidences,u,u_incidences,v,v_incidences,w,w_incidences,x,x_incidences,y,y_incidences,z,z_incidences
Abdo,"879,808",Banerjee,"545,643",Carter,"665,686",de Carvalho,"654,432",Eke,"158,056",Fouad,"291,984",Gimenez,"373,167",Henry,"526,729",Idrees,"174,770",Jung,"336,441",Kabore,"519,690",Lata,"339,705",Müller,"1,077,430",Ngoc,"367,786",Okonkwo,"260,323",Pramanik,"557,364",Quynh,"54,726",Reis,"532,180",Sow,"1,076,990",Toledo,"388,782",Udin,"88,017",Vogel,"182,870",Watkins,"221,655",Xakimov,"5,697",Yussuf,"240,324",Zakharov,"178,764"
Akram,"873,652",Banza,"540,973",Collins,"646,590",dela Cruz,"636,048",Essa,"154,421",Faraj,"279,382",Gai,"366,958",Hakim,"515,938",Iskandar,"173,101",Johnston,"333,814",Karimi,"493,594",Lama,"336,121",Manuel,"1,072,347",No,"357,478",Ogbonna,"244,151",Petrova,"547,957",Quek,"51,049",Rossi,"526,728",Sheng,"1,067,131",Tsehay,"381,911",Un,"87,850",Valverde,"175,445",Washington,"221,627",Xhafa,"5,605",Yeboah,"229,339",Zahir,"170,544"
Abu,"855,545",Bagdi,"538,236",Cooper,"643,797",Dube,"632,636",El Haddad,"153,384",Fajardo,"276,254",Gabr,"361,306",Hashim,"498,051",Ismael,"172,382",Jama,"327,843",Kuznetsov,"490,742",Lay,"335,240",Miao,"1,070,523",Nang,"357,406",Othman,"237,368",Ponce,"545,342",Quartey,"50,626",Rahayu,"513,815",Saito,"1,056,935",Thai,"366,141",Uike,"87,430",Vishwakarma,"174,358",Wanjiku,"217,734",Xakimova,"5,590",Yunusa,"226,114",Zepeda,"169,536"
Abebe,"833,351",Bennett,"535,578",Cortez,"614,814",Doan,"613,112",Eriksson,"149,397",Figueiredo,"273,808",Grant,"357,783",Hashimoto,"482,820",Ishfaq,"169,191",Jeong,"315,786",Khalifa,"490,001",Lugo,"326,174",May,"1,051,639",Nowak,"355,543",Olson,"233,641",Paz,"528,614",Quarshie,"50,488",Robert,"506,103",Sawadogo,"1,043,591",Thandar,"361,346",Ummaru,"86,456",Vara,"174,264",Walters,"217,379",Xona,"5,554",Yanti,"225,423",Zamani,"164,400"
Aguirre,"796,048",Barrera,"534,856",Cen,"579,978",Dei,"594,552",Esteves,"148,079",Freire,"263,787",Gautam,"357,140",Hui,"470,645",Ilboudo,"166,408",Jara,"308,958",Kundu,"486,020",Lambert,"325,248",Min,"1,033,082",Nava,"353,616",Osama,"223,829",Pande,"528,464",Qale,"49,315",Richardson,"499,419",Sinh,"1,038,164",Taher,"352,126",Umeh,"86,183",Valerio,"173,840",Wahyudi,"217,282",Xamidov,"5,354",Yavuz,"222,494",Zaytsev,"160,679"
Aminu,"795,407",Boro,"528,012",Cook,"577,637",Dlamini,"587,854",Edem,"147,582",Fares,"257,228",Galindo,"343,054",Harrison,"458,764",Idriss,"165,833",Junior,"308,692",Khanam,"465,916",Lawan,"307,078",Mu,"1,028,966",Ncube,"350,631",Oviedo,"223,793",Pathak,"494,566",Qurbanova,"48,589",Rangel,"494,338",Santiago,"1,034,092",Tripathi,"347,708",Uslu,"86,051",Vaca,"173,326",Wafula,"212,051",Xamidova,"5,305",Yousefi,"222,097",Zaher,"158,506"
Arif,"781,710",Beltran,"524,924",Conde,"573,275",da Cruz,"562,106",Escobedo,"145,164",Farouk,"256,193",Ghasemi,"340,897",Howard,"452,218",Igarashi,"162,173",Jorge,"299,999",Ka,"464,634",Leonard,"303,899",Munda,"1,017,472",Ningsih,"349,551",Oda,"223,510",Peters,"492,279",Qurbanov,"47,464",Rabha,"488,289",Suleiman,"1,012,256",Thu,"340,821",Ulrich,"85,060",Vali,"172,370",Weaver,"204,379",Xisto,"5,217",Yaya,"213,287",Zerihun,"152,475"
Ayala,"737,462",Bhandari,"513,543",Coelho,"538,676",de Leon,"526,542",Endale,"145,127",Francois,"253,313",Go,"337,643",Hidalgo,"436,055",Ibe,"162,095",Jagtap,"298,091",Klein,"462,978",Lo,"302,664",Marquez,"964,805",Ngoma,"346,362",Ouma,"216,499",Paulo,"492,160",Qadri,"46,095",Ross,"485,935",Sharif,"1,007,485",Takeuchi,"339,029",ul Din,"84,706",Vela,"170,270",Watts,"199,585",Xiquin,"4,933",Yunus,"207,365",Zayed,"149,051"
Al Numan,"704,659",Becker,"498,723",Caballero,"536,088",Diao,"520,285",Escalona,"143,620",Florez,"240,686",Gunawan,"337,592",Heydari,"430,319",Ingabire,"160,149",Johansson,"277,811",Koch,"457,037",Lakshmi,"297,754",Mohammadi,"963,284",Nouri,"346,062",Otsuka,"215,364",Popov,"474,424",Quick,"44,359",Raja,"483,898",Salah,"997,476",Tovar,"337,311",Ummar,"82,014",Valdivia,"169,032",Winter,"198,622",Xutuc,"4,890",Yalçın,"206,929",Zan,"137,862"
Amir,"699,220",Bilal,"498,151",Chin,"532,914",Doumbia,"507,684",Eva,"143,186",Fatimah,"235,361",Guillen,"329,365",Haile,"428,984",Iwata,"158,837",Jawad,"277,105",Kondo,"454,989",Lemos,"286,167",Mahmud,"946,076",Nieto,"339,503",Olsen,"214,706",Popova,"465,939",Quintas,"44,293",Reza,"480,707",Samuel,"969,958",Tembo,"331,360",Uwera,"81,934",Visvakarm,"168,320",Wilkinson,"196,962",Xuereb,"4,851",Yee,"189,056",Zeleke,"136,481"
Adhikari,"696,140",Barreto,"469,941",Cox,"515,679",Davies,"500,664",Elhassan,"140,643",Fujimoto,"225,435",Griffin,"328,740",Hashem,"426,604",Ide,"155,606",Jannat,"265,548",Kara,"445,482",Lazaro,"281,790",Manjhi,"939,916",Nakano,"338,643",Olvera,"212,626",Price,"451,693",Quigley,"43,997",Raval,"470,746",Saw,"963,661",Thakare,"330,163",Usui,"81,585",Vika,"167,625",Weiss,"195,790",Xx,"4,692",Yakovleva,"187,788",Zhukova,"133,791"
Anh,"658,260",Bernal,"468,924",Cano,"508,585",Diakite,"487,704",El Amery,"138,866",Franklin,"222,591",Guimaraes,"323,268",Hanif,"426,527",Ismailova,"151,083",Jansen,"259,640",Kamel,"429,739",Lourenço,"272,220",Marin,"926,168",Nielsen,"338,225",Omran,"210,677",Palma,"442,525",Quinones,"43,932",Rubio,"467,570",Salim,"961,041",Trejo,"323,280",Urdaneta,"80,826",Vaghari,"165,569",Webster,"189,812",Xicara,"4,568",Yoshikawa,"186,091",Zewdu,"132,886"
Afzal,"650,475",Brooks,"446,904",Cong,"499,322",de Freitas,"480,778",Estrella,"138,291",Fawzy,"220,892",Goswami,"322,064",Hurtado,"426,038",Ishihara,"150,803",Julius,"258,216",Kurniawan,"427,474",Lorenzo,"266,161",Monteiro,"911,769",Nu,"336,888",Owen,"203,153",Peterson,"428,128",Quadri,"41,682",Rajak,"457,303",Salman,"945,302",Tóth,"313,566",Ubena,"80,743",Vang,"165,346",Widodo,"176,775",Xanthopoulos,"4,536",Yasuda,"184,154",Zelalem,"132,840"
António,"643,108",Bhuiyan,"425,092",Chou,"494,067",Diouf,"470,115",Ernest,"137,860",Fazal,"218,767",Galvan,"321,011",Hamadou,"423,931",Isaev,"150,783",João,"253,017",Kennedy,"413,234",Linares,"265,825",Makavan,"890,173",Ngoie,"336,362",Om,"200,643",Pae,"421,523",Quaresma,"41,357",Rabiu,"450,298",Sousa,"936,727",Tucker,"311,116",Uzoma,"77,507",Venegas,"165,264",Welch,"175,920",Xoy,"4,376",Yen,"180,210",Za,"131,697"
Ahmadi,"642,113",Butler,"421,859",Cervantes,"479,445",de Paula,"468,201",Elmi,"137,618",Fletcher,"216,963",Garza,"320,251",Hai,"421,703",Infante,"147,334",Jani,"246,263",Khamis,"413,224",Laurent,"265,027",Mora,"873,036",Nishimura,"331,432",Olivier,"199,855",Putra,"421,467",Qaisar,"41,248",Russell,"447,328",Son,"904,535",Thiam,"309,236",Ude,"74,866",Villar,"164,101",Wazir,"173,123",Xankişiyeva,"4,283",Yeung,"179,374",Zewdie,"131,116"
Adel,"637,160",Banu,"421,824",Chakma,"470,282",Dad,"463,053",El Sayed,"136,144",Fareed,"203,663",Garrido,"318,697",Harijan,"414,557",Ignacio,"143,317",Joao,"242,499",Kou,"412,508",Lynch,"257,138",More,"837,337",Nkosi,"329,247",Oya,"198,161",Powell,"414,783",Quy,"39,481",Rosas,"430,281",Sresth,"904,469",Tembe,"308,229",Uy,"74,069",Vegam,"164,076",Winkler,"170,187",Xolafaqare,"4,270",Yesmin,"177,534",Zabala,"128,910"
Akpan,"635,150",Barnes,"418,574",Castañeda,"460,022",Deshmukh,"460,295",Elsheikh,"132,050",Frias,"201,163",Gamit,"316,866",Hamilton,"409,363",Iwamoto,"138,136",Jose,"240,491",Khatri,"405,955",Lungu,"254,362",Mahamat,"833,236",Nwachukwu,"328,017",Olivera,"191,938",Park,"383,261",Quraishi,"37,644",Rivero,"424,586",Saleem,"872,163",Tamura,"298,063",Unger,"73,763",Veliz,"152,787",Waseem,"164,156",Xankişiyev,"4,185",Yamauchi,"174,004",Zwane,"128,139"
Asif,"628,037",Bora,"414,482",Cabral,"458,386",Deka,"453,689",Emon,"131,868",Fowler,"196,798",Gilbert,"313,591",Henderson,"400,559",Izquierdo,"137,379",Joaquim,"236,558",Kapinga,"401,767",Larsen,"253,067",Mir,"828,448",Nakagawa,"323,783",Okorie,"190,163",Perry,"380,979",Quintino,"36,731",Reed,"422,002",Siddique,"871,322",Tefera,"277,413",Umutoni,"70,986",Vallejos,"151,672",Warner,"159,862",Xavier da Silva,"4,128",Yap,"173,355",Zimmerman,"126,345"
Abe,"616,165",Bauer,"410,946",Cole,"449,543",Doğan,"447,457",Eawda,"131,504",Fuller,"196,763",Gope,"301,383",Hamada,"399,665",Idrissa,"133,765",Jalal,"236,386",Kılıç,"401,077",Lane,"252,540",Maldonado,"794,638",Nandi,"320,267",Opoku,"189,994",Pa,"380,078",Qahtan,"35,863",Ryan,"417,984",Sandoval,"862,005",Tai,"276,834",Uno,"70,867",Valentin,"151,253",Walton,"156,730",Xicotencatl,"4,089",Yasser,"172,787",Ziegler,"121,937"
Ahamed,"607,047",Bernard,"410,017",Caceres,"448,063",Desai,"446,556",Engel,"131,176",Fleming,"196,643",Godwin,"294,368",Hasegawa,"397,773",Isaeva,"129,438",Jameel,"233,636",Kar,"399,190",Lange,"250,580",Mun,"763,976",Nkurunziza,"310,322",O'Brien,"189,365",Pour,"373,958",Qayum,"32,058",Rose,"415,299",Si,"856,365",Tuan,"270,188",Ubale,"70,850",Vanakar,"150,971",Won,"155,635",Xep,"4,068",Yañez,"171,875",Zulfiqar,"120,768"
Amadi,"604,560",Bamba,"408,294",Choi,"439,579",Debbarma,"443,810",Erdem,"131,131",Fekadu,"193,542",Gallegos,"292,995",Hussien,"395,366",Ingram,"127,398",Jalil,"224,425",Ku,"395,623",Law,"246,411",Meyer,"751,243",Narvaez,"306,566",Onishi,"187,573",Parida,"369,383",Quero,"31,971",Rakotomalala,"413,266",Scott,"854,691",Tira,"263,711",Uk,"70,487",Vala,"149,444",Warsame,"155,359",Xudiyev,"4,055",Yani,"165,526",Zhukov,"115,978"
Arshad,"594,267",Bonilla,"408,251",Cordova,"438,573",Dauda,"443,248",Elmasry,"130,681",Fahmy,"192,900",Gaud,"292,567",Hembram,"393,229",Ishibashi,"127,061",Joshua,"224,347",Kane,"393,642",Leiva,"245,541",Magar,"740,664",Nwankwo,"305,281",Ousmane,"185,289",Pasavan,"367,377",Qasem,"30,778",Ra,"412,855",Sinha,"813,299",Tabassum,"261,908",Umeda,"69,437",Valente,"144,724",Wani,"154,765",Xudiyeva,"3,956",Youssouf,"162,170",Zubairu,"115,838"
Aden,"589,965",Badr,"388,979",Carrasco,"422,896",Dewi,"433,787",Eduardo,"129,757",Furukawa,"192,637",Gill,"281,260",Haldar,"378,950",Ismaila,"124,495",Jalloh,"218,442",Kour,"392,759",Ledesma,"243,144",Mansour,"720,821",Nabil,"304,559",Orlova,"185,240",Palmer,"362,907",Qambar,"30,447",Rafeeq,"398,457",Shaw,"808,364",Taye,"261,713",Uamusse,"67,407",Vanegas,"144,724",Waters,"141,535",Xaydarov,"3,934",Yano,"161,693",Zia,"115,472"
Alemayehu,"588,889",Bueno,"382,028",Clarke,"422,456",Dutt,"433,657",Ekka,"128,099",Fatema,"192,105",Gamboa,"273,361",Hoffmann,"370,350",Ikram,"120,897",José,"217,204",Kami,"387,261",Lawson,"235,809",Mitchell,"708,649",Naing,"296,172",Omarov,"185,133",Patrick,"360,966",Quiambao,"28,766",Rim,"393,911",Sadiq,"795,380",Taleb,"258,470",Ubhai,"66,975",Valvi,"142,532",Wall,"141,357",Xaydarova,"3,911",Yüksel,"159,965",Zelaya,"115,397"
Ao,"564,500",Ban,"379,831",Choudhary,"419,429",dos Reis,"420,427",Essien,"126,242",Farag,"190,832",Gardner,"266,793",Hamdy,"367,497",Ike,"118,158",Jaafar,"214,304",Karimov,"386,438",Levy,"224,725",Matsumoto,"699,729",Niang,"295,771",Orji,"182,738",Paulino,"356,795",Quinlan,"27,852",Rakotonirina,"386,261",Sosa,"762,351",Tigist,"251,339",Ung,"64,771",Vivas,"138,355",Weerasinghe,"140,573",Xirum,"3,867",Yoshimura,"159,224",Zurita,"112,655"
Alonso,"562,319",Burgos,"365,477",Cavad,"415,962",de Andrade,"418,500",Erickson,"124,313",Fuchs,"190,672",Galvez,"266,119",Hamoud,"360,240",Issack,"118,014",Jafar,"210,648",Kalita,"386,375",Lucero,"221,956",Michael,"699,432",Nyirenda,"294,750",Oumar,"180,327",Prado,"355,695",Quddus,"27,821",Reynolds,"374,324",Serrano,"755,756",Tin,"246,554",Uwineza,"63,096",Villarroel,"133,572",Wanjala,"136,082",Xun,"3,750",Yamanaka,"156,800",Zoungrana,"112,192"
Aydın,"552,157",Butt,"364,815",Cardona,"392,519",de Castro,"417,753",Espino,"122,442",Franca,"189,783",Gama,"260,997",Haladar,"355,990",Imtiaz,"117,752",Jaiswal,"209,789",Koroma,"377,360",Lema,"218,879",Morris,"686,599",Nakayama,"294,469",Otero,"179,681",Pi,"346,347",Quino,"27,018",Robertson,"367,298",Schneider,"753,727",Talukder,"244,812",Uğur,"63,012",Veloso,"132,933",Waqas,"129,079",Xachatryan,"3,724",Yiğit,"152,051",Zuniga,"111,848"
Abbasi,"550,303",Baria,"362,202",Cohen,"391,124",do Carmo,"403,904",El Masry,"122,111",Faiz,"189,150",Gholami,"260,071",Hayes,"355,769",Inusa,"116,424",Joy,"209,343",Karimova,"373,714",Limbu,"218,666",Mohsen,"684,708",Nag,"294,358",Opara,"179,469",Patterson,"341,414",Quisbert,"26,492",Rodriguês,"362,667",Sih,"735,461",Tarek,"244,004",Ushakova,"62,145",Vlasova,"132,682",Wolfe,"127,498",Xenos,"3,654",Yakovlev,"151,986",Zahran,"109,808"
Amadou,"538,438",Biswal,"359,405",Cordeiro,"383,533",Dawood,"400,497",Ezeh,"121,193",Fahim,"187,310",Gani,"254,536",Hlaing,"353,756",Ilina,"115,384",Jadav,"203,817",Karki,"371,641",Lira,"216,446",Mal,"681,647",Naz,"293,759",Omary,"179,122",Phyu,"331,887",Quissanga,"26,245",Rahimi,"356,678",Sasaki,"718,697",Tkachenko,"237,170",Ureña,"61,821",Vista,"132,040",Wolff,"124,828",Xhaferi,"3,515",Yoshioka,"148,243",Zaragoza,"105,297"
Adamou,"537,726",Baez,"354,552",Cuevas,"379,084",de Melo,"389,143",Escudero,"120,606",Feliciano,"183,612",Goyal,"253,750",Halim,"334,371",Israel,"114,805",Jadej,"198,795",Kyungu,"362,670",Lowe,"215,662",Mahdi,"680,531",Novikova,"292,734",Orlov,"175,055",Phung,"324,172",Qaim,"25,506",Russo,"353,346",San,"713,972",Tomas,"233,433",Ungureanu,"61,175",Valero,"131,436",Wambua,"123,848",Xicohtencatl,"3,332",Yip,"146,071",Zannat,"104,746"
Aquino,"535,207",Bhattacharya,"343,265",Carmona,"378,691",de Fatima,"382,673",Er,"118,497",Fung,"178,602",Gallo,"245,276",Hunt,"333,945",Irakoze,"113,875",Jaya,"197,456",Kikuchi,"361,463",Leyva,"215,217",Mamani,"673,910",Nessa,"292,565",Ohakwu,"173,396",Prieto,"322,335",Quiles,"25,332",Roque,"351,988",Sunday,"701,708",Tolentino,"232,884",Ulla,"60,672",Vogt,"128,124",Wairimu,"120,427",Xocoxic,"3,318",Yahia,"143,874",Zieliński,"102,755"
Alemu,"534,507",Bustamante,"342,202",Chatterjee,"377,162",Davila,"380,488",El Omry,"117,726",Frolova,"178,124",Getahun,"242,526",Hussen,"332,451",Iliya,"112,971",Jibrin,"194,698",Kishor,"351,812",Lubis,"214,322",Mali,"665,043",Nur,"287,066",Ofori,"170,513",Pimentel,"316,791",Qwabe,"25,323",Richards,"349,081",Setiawan,"697,018",Taniguchi,"230,555",Usta,"60,293",van Wyk,"125,074",Wise,"118,808",Xaashi,"3,119",Yacouba,"142,667",Zewde,"100,155"
Almaz,"528,851",Becerra,"341,052",Cordero,"370,549",Desta,"367,263",Esmail,"116,417",Faustino,"177,795",Gonzaga,"242,520",Hunter,"332,372",Ibraheem,"110,912",Jack,"192,069",Kausar,"348,811",Lawali,"211,243",Mori,"662,127",Nuhu,"284,208",Ozawa,"167,915",Prajapati,"315,082",Qayoom,"25,241",Reid,"345,075",Sántos,"688,889",Takagi,"229,818",Ukoma,"58,150",Vasave,"121,485",Wondimu,"118,541",Xocua,"3,111",Yohana,"138,980",Zeng,"99,504"
Antonio,"513,995",Bhosle,"340,980",Chukwu,"368,570",Daud,"362,435",Edeh,"116,369",Fukushima,"176,722",Ghafoor,"241,423",Hassen,"327,255",Inuwa,"110,195",Jaime,"191,726",Kyaw,"346,471",Lloyd,"203,599",Murphy,"659,745",Naw,"277,303",Ohara,"167,121",Portillo,"303,339",Qurashi,"24,051",Ramadhani,"339,853",Sylla,"684,578",Toro,"227,488",Udofia,"57,772",Visser,"118,502",Wilkins,"115,598",Xolmatov,"3,086",Yaşar,"138,101",Zakirova,"98,867"
Aparecido,"508,083",Birhanu,"339,625",Coleman,"364,938",de Silva,"360,760",Eissa,"116,102",Friday,"175,414",Ghorbani,"240,468",Harouna,"324,104",Iliyasu,"108,992",Jacinto,"184,922",Kisku,"336,966",Lebedeva,"202,691",Mallik,"658,252",Njoku,"274,314",Otto,"167,063",Porter,"295,388",Quito,"23,731",Raju,"332,294",Sarker,"680,933",Tamayo,"222,315",Ugochukwu,"57,731",Valladares,"118,424",Wekesa,"114,975",Xolmatova,"3,048",Yates,"137,327",Zakirov,"97,403"
Arslan,"496,847",Barua,"337,151",Cossa,"363,284",Deen,"355,223",Estevez,"115,969",Fauzi,"175,271",Gambo,"240,145",Hara,"323,267",Izumi,"108,734",Jamali,"182,285",Khumalo,"335,030",Lehmann,"199,828",Morgan,"626,804",Nura,"273,279",Ousman,"166,252",Pujari,"295,270",Qorishi,"23,373",Razzaq,"323,281",Salisu,"680,372",Taj,"222,257",Urmi,"52,448",Vong,"116,723",Weiß,"111,241",Xavery,"2,980",Yemane,"133,862",Zamudio,"95,993"
Abba,"489,537",Bermudez,"333,626",Chaves,"363,112",Dicko,"345,539",Echeverria,"115,956",Filipe,"174,959",Gurun,"240,100",Holmes,"318,407",Ibrahem,"108,125",Jibril,"180,081",Kareem,"333,682",Lobo,"196,467",Mane,"609,698",Nazir,"270,408",Oka,"157,100",Paez,"294,714",Qadoos,"22,877",Richter,"318,090",Sidibe,"673,340",Tellez,"219,104",Ugarte,"52,287",Vaughn,"115,336",Wickramasinghe,"111,027",Xoyon,"2,889",Yehia,"128,702",Zahra,"95,701"
Abera,"481,944",Bento,"333,079",Cheung,"360,615",Dixon,"342,419",Eng,"115,617",FitzGerald,"173,815",Giraldo,"234,985",Huerta,"317,839",Ibrahima,"106,132",Jonas,"178,237",Keller,"328,507",Luis,"195,165",Miya,"603,348",Nicolas,"262,820",Onuoha,"156,139",Pravin,"293,102",Quiceno,"22,573",Ragab,"307,602",Swain,"670,180",Tadavi,"216,599",Ushakov,"51,809",Viera,"114,732",Worknesh,"110,920",Xusanov,"2,858",Yoshino,"128,417",Zewditu,"93,855"
Azam,"476,813",Burns,"328,868",Caetano,"355,423",da Rocha,"335,309",Emanuel,"114,178",Fraser,"167,004",Granados,"228,634",Haq,"315,097",Inácio,"105,718",Jeon,"178,193",Kaneko,"327,079",Luís,"194,562",Meza,"585,089",Nana,"260,982",Oshima,"155,385",Pavlova,"284,419",Quist,"22,224",Rashidi,"300,376",Solis,"666,207",Thorat,"215,852",Ulfa,"51,735",Venancio,"111,535",Wangui,"108,912",Xusanova,"2,841",Yokota,"128,100",Zahan,"93,759"
Al Amin,"469,172",Bernardo,"326,862",Chacon,"351,622",Dabhi,"330,374",Escamilla,"112,825",Fikadu,"165,703",Garg,"225,266",Handayani,"311,217",Imamura,"105,311",Jovanović,"174,916",Kulkarni,"327,075",Little,"194,502",Mensah,"583,055",Nazar,"258,742",Oke,"154,028",Payne,"282,640",Qademe,"22,032",Rincon,"298,555",Sing,"662,440",Tetteh,"214,566",Ud-Deen,"51,428",Valera,"109,450",Wijesinghe,"108,263",Xenakis,"2,819",Yusif,"126,572",Zandamela,"92,976"
Abraham,"467,121",Baptista,"325,924",Cunha,"348,311",Dash,"326,873",El Misri,"109,752",Ferraz,"165,038",Guedes,"224,309",Husen,"309,466",Ilić,"104,302",Jennings,"173,970",Kedir,"327,028",Larson,"180,944",Moses,"582,135",Negash,"254,721",Okubo,"152,786",Petersen,"282,636",Qattan,"21,885",Rahmani,"298,269",Salas,"657,801",Takeda,"214,135",Ugalde,"49,945",van der Merwe,"107,222",Whitehead,"107,578",Xerri,"2,795",Yaman,"125,414",Zenebe,"89,963"
Acevedo,"464,702",Bol,"323,918",Carneiro,"342,150",Dev,"311,174",Ernst,"109,085",Frolov,"157,478",Ghaleb,"214,840",Harada,"309,328",Irie,"103,816",Jamilu,"165,321",Kabiru,"319,442",Lemus,"176,841",Miguel,"578,599",Navarrete,"250,807",Osborne,"152,109",Philip,"268,819",Quadros,"21,885",Romano,"293,280",Stewart,"651,966",Teli,"202,006",Uranv,"49,644",Vasana,"106,708",Wiyono,"106,877",Xochicale,"2,788",Yagi,"123,844",Zacharia,"88,756"
Ang,"450,956",Braga,"323,496",Castellanos,"339,746",Dunn,"294,621",Ema,"108,682",Fayaz,"150,349",Goma,"214,586",Hansda,"302,415",Isiaka,"103,661",Javier,"163,897",Khadk,"317,972",Lokhande,"170,107",Moyo,"577,233",Nasiru,"248,161",Ospina,"151,268",Pati,"263,387",Qarayeva,"21,549",Reda,"289,529",Sekha,"649,902",Tyagi,"200,903",Ukpong,"49,419",Vlasov,"105,607",Warsi,"104,690",Xudaverdiyev,"2,765",Yacoub,"123,515",Ziad,"80,960"
Alexander,"447,849",Basheer,"322,878",Carlos,"335,406",Dia,"292,098",Eren,"108,350",Flynn,"149,993",Gregory,"214,506",Hart,"292,878",Ima,"102,557",Jayasinghe,"163,363",Kovalenko,"317,619",Love,"167,351",Mahmood,"574,390",Narzary,"243,808",Ohashi,"149,027",Parkash,"261,955",Querales,"21,173",Rakotoarisoa,"272,252",Salam,"629,464",Tsige,"200,080",Ugale,"48,906",Valderrama,"105,109",Waziri,"103,554",Xudaverdiyeva,"2,740",Yameogo,"121,349",Zagazig,"80,937"
Amer,"441,227",Brahma,"322,086",Camargo,"328,630",Damor,"290,516",Espiritu,"105,427",Fournier,"149,912",Gopal,"214,326",Haidar,"290,107",Ince,"101,785",Joel,"161,330",Kumbhar,"312,084",Lyons,"166,419",Mousa,"572,691",Neumann,"241,315",O'Connor,"144,751",Pillai,"259,425",Qudratullah,"21,068",Rabari,"271,727",Sheik,"621,889",Takada,"198,995",Umukoro,"48,028",Vishvakarma,"104,821",Wilhelm,"100,007",Xala,"2,712",Yumba,"120,314",Zghir,"77,830"
Alhassan,"438,792",Beck,"320,136",Chol,"318,899",Daniels,"287,802",Espinal,"103,650",Furtado,"149,275",Ghaffar,"212,945",Harvey,"289,343",Islas,"100,984",Jaimes,"158,866",Kay,"311,583",Liyanage,"164,995",Maseeh,"556,121",Nisa,"240,711",Ozaki,"139,491",Paudel,"257,212",Quainoo,"20,977",Rajput,"271,509",Shehu,"611,575",Trindade,"197,249",Umuhoza,"47,654",Valentine,"103,808",Wilcox,"99,332",Xoalaqadare,"2,694",Yom,"119,864",Zadi,"77,630"
Abdoulaye,"420,645",Bangura,"319,791",Candido,"310,900",Duncan,"285,837",Ernesto,"102,786",Fabian,"149,028",Gallego,"210,591",Hamisi,"286,261",Iftikhar,"98,739",Jonathan,"157,952",Kazi,"305,950",Leblanc,"163,583",Mukherjee,"554,253",Noel,"240,252",Obeng,"137,360",Pascual,"256,965",Qarayev,"20,843",Rawat,"264,868",Shankar,"599,996",Thi,"196,310",Uwase,"47,565",Vasilyeva,"102,828",Witt,"99,263",Xochihua,"2,671",Yasa,"118,663",Zaheer,"76,547"
Abakar,"419,084",Bondarenko,"317,685",Conteh,"309,333",de Assis,"280,423",Eskandari,"100,912",French,"148,959",Ghazi,"209,218",Hassane,"284,967",Inyang,"98,559",Jacques,"156,242",Kali,"300,610",Lemma,"163,236",Manna,"552,952",Ndayishimiye,"239,822",Oishi,"137,195",Pop,"252,709",Quayson,"20,683",Romanova,"259,529",Sen,"599,712",Turan,"195,485",Uyar,"47,488",Viegas,"102,516",Wyatt,"98,873",Xanthopoulou,"2,667",Yuen,"118,042",Zengin,"75,296"
Audu,"415,024",Black,"316,649",Chapman,"304,027",Diab,"276,824",Erol,"100,821",Fatma,"146,311",Güler,"209,102",Htet,"284,559",Idrissi,"97,295",Ja,"154,504",Khudair,"299,924",Lual,"162,145",Mercado,"535,699",Nurhayati,"239,503",Oan,"137,178",Pita,"245,281",Quader,"20,407",Ravidas,"257,902",Shimizu,"583,892",Tharuni,"193,297",Ullrich,"47,200",Vaidya,"101,679",Wangari,"98,200",Xuchen,"2,625",Yulianti,"117,311",Zainab,"75,232"
Asghar,"414,263",Benjamin,"305,468",Chau,"303,716",Dahiru,"275,070",Erazo,"100,592",Firmino,"146,024",Gore,"208,153",Huaman,"281,764",Isyaku,"94,640",Jahangir,"152,922",Knight,"299,409",Let,"158,562",Montoya,"535,440",Novikov,"236,804",Odongo,"137,112",Pavlov,"241,915",Quiala,"20,104",Rafiq,"252,709",Saidi,"580,820",Tut,"192,811",ul Hassan,"46,763",Vankhade,"100,705",Wanyonyi,"96,454",Xalamihua,"2,602",Yuldashyeva,"114,434",Zondi,"74,862"
Adebayo,"412,513",Berhanu,"304,984",Crawford,"302,730",Datta,"272,975",English,"100,344",Falcon,"145,931",Gauda,"205,830",Haneef,"279,644",Izuka,"94,372",Jamadar,"152,562",Kojima,"298,715",Luka,"155,587",Melo,"530,722",Newman,"233,884",Oba,"131,979",Pearson,"241,783",Qari,"19,473",Rabbani,"250,635",Sahani,"579,417",Talukdar,"192,121",Ussene,"46,487",Vankhede,"100,352",Woodward,"96,311",Xe,"2,559",Yuldashyev,"113,302",Zeeshan,"73,469"
